Date,Price,Open,High,Low,Volume,Chg%
"Jun 24, 2020","50,193.80","51,193.19","51,321.08","50,008.25",383.52M,-1.95%
"Jun 23, 2020","51,193.19","49,877.86","51,343.26","49,876.96",183.01M,2.64%
"Jun 22, 2020","49,877.86","49,812.34","50,302.16","49,611.11",151.72M,0.13%
"Jun 19, 2020","49,812.34","49,589.11","50,249.35","49,589.11",605.55M,0.45%
"Jun 18, 2020","49,589.11","49,661.14","49,942.38","49,154.79",438.33M,-0.15%
"Jun 17, 2020","49,661.14","47,919.52","49,663.09","47,919.52",258.77M,3.63%
"Jun 15, 2020","47,919.52","49,247.69","49,247.69","47,604.81",216.69M,-2.70%
"Jun 12, 2020","49,247.69","48,892.12","49,376.74","47,848.93",184.19M,0.73%
"Jun 11, 2020","48,892.12","49,204.82","49,204.82","47,998.78",271.85M,-0.64%
"Jun 10, 2020","49,204.82","49,915.74","49,915.74","49,025.56",235.18M,-1.42%
"Jun 09, 2020","49,915.74","50,117.63","50,117.63","49,520.57",251.71M,-0.40%
"Jun 08, 2020","50,117.63","50,199.80","50,199.80","49,749.58",271.82M,-0.16%
"Jun 05, 2020","50,199.80","48,837.53","50,404.19","48,830.09",286.52M,2.79%
"Jun 04, 2020","48,837.53","49,300.10","49,346.54","48,738.88",275.22M,-0.94%
"Jun 03, 2020","49,300.10","48,318.29","49,300.10","48,318.29",304.38M,2.03%
"Jun 02, 2020","48,318.29","46,950.12","48,540.61","46,945.53",291.06M,2.91%
"Jun 01, 2020","46,950.12","46,544.79","47,859.62","46,541.05",150.26M,0.87%
"May 29, 2020","46,544.79","47,440.06","47,440.06","46,487.89",820.50M,-1.89%
"May 28, 2020","47,440.06","46,600.64","47,440.06","46,514.24",213.69M,1.80%
"May 27, 2020","46,600.64","46,795.97","46,795.97","46,405.89",0,-0.42%
"May 26, 2020","46,795.97","46,351.26","47,041.47","46,351.26",171.51M,0.96%
"May 25, 2020","46,351.26","46,432.04","46,432.04","46,098.53",108.11M,-0.17%
"May 22, 2020","46,432.04","47,232.26","47,232.26","45,765.92",214.61M,-1.69%
